track,artist,playcount,listeners,mbid,date_fetched
Holly Jolly Christmas,Michael Bublé,4435553,1031070,26a33c7b-93c1-489a-b170-4d593dd50d68,2025-12-24 16:58:57.439253
Mr. Brightside,The Killers,47488751,3508032,,2025-12-24 16:58:57.439253
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,27894112,1772121,449b6c10-9dae-4b6a-9af7-27a31507393a,2025-12-24 16:58:57.439253
Sparks,Coldplay,34810322,2423900,22d49305-4e35-4a69-8638-05ac5f734065,2025-12-24 16:58:57.439253
Flashing Lights,Kanye West,34035682,2066817,079c71c1-6916-4527-bef0-c8d67acdd2c5,2025-12-24 16:58:57.439253
Borderline,Tame Impala,26652364,1808215,6c337c9d-8637-4720-9af2-d914019149b8,2025-12-24 16:58:57.439253
Pink + White,Frank Ocean,56158808,2322748,0e360068-12c7-4012-853c-6a6011e0b36a,2025-12-24 16:58:57.439253
Feliz Navidad,José Feliciano,4593561,1061607,7267a624-63f8-49e3-ad4b-414d59a96119,2025-12-24 16:58:57.439253
luther (with SZA),Kendrick Lamar,25238396,1422011,c8991a8c-1958-4e21-9615-568161d32286,2025-12-24 16:58:57.439253
Into You,Ariana Grande,24257584,1562940,d64c6f5a-f529-468c-9a23-6bcdb213d14f,2025-12-24 16:58:57.439253
WILDFLOWER,Billie Eilish,32540108,1506637,5afa33bb-83f6-42c6-b789-8bfa34c48b50,2025-12-24 16:58:57.439253
undressed,sombr,12844124,972197,84fdf3e4-e5ae-4362-a04f-a53734b1b1ef,2025-12-24 16:58:57.439253
The Chain - 2004 Remaster,Fleetwood Mac,20138655,1630945,cd06c484-9319-4376-a104-504871e19756,2025-12-24 16:58:57.439253
Christmas (Baby Please Come Home),Darlene Love,3260508,812114,,2025-12-24 16:58:57.439253
Fade Into You,Mazzy Star,30958285,2037044,,2025-12-24 16:58:57.439253
Sailor Song,Gigi Perez,24545136,1147415,05ec0220-311a-4660-a551-f59b17b49421,2025-12-24 16:58:57.439253
like JENNIE,Jennie,16259978,681212,6622c9da-d435-4ab6-9044-ce1869b916fe,2025-12-24 16:58:57.439253
From the Start,Laufey,24809886,1377147,2d60d854-bbae-4f81-80f9-bed406d17a10,2025-12-24 16:58:57.439253
Von dutch,Charli xcx,28965626,1345027,56571e59-3c81-4cc2-8959-7aa356a68545,2025-12-24 16:58:57.439253
